run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
load1000-burst,2,2000,214,1788849600034643,1788849600049938,15295
load1000-burst,2,2000,215,1788849600034643,1788849600049947,15304
load1000-burst,2,2000,216,1788849600034643,1788849600049968,15325
load1000-burst,2,2000,217,1788849600034643,1788849600049983,15340
load1000-burst,2,2000,218,1788849600034643,1788849600049998,15355
load1000-burst,2,2000,219,1788849600034643,1788849600050023,15380
load1000-burst,2,2000,220,1788849600034643,1788849600050034,15391
load1000-burst,2,2000,221,1788849600034643,1788849600050053,15410
load1000-burst,2,2000,222,1788849600034643,1788849600050068,15425
load1000-burst,2,2000,223,1788849600034643,1788849600050083,15440
load1000-burst,2,2000,224,1788849600034643,1788849600050095,15452
load1000-burst,2,2000,225,1788849600034643,1788849600050109,15466
load1000-burst,2,2000,226,1788849600034643,1788849600050121,15478
load1000-burst,2,2000,227,1788849600034643,1788849600050131,15488
load1000-burst,2,2000,228,1788849600034643,1788849600050142,15499
load1000-burst,2,2000,229,1788849600034643,1788849600050150,15507
load1000-burst,2,2000,230,1788849600034643,1788849600050160,15517
load1000-burst,2,2000,231,1788849600034643,1788849600050170,15527
load1000-burst,2,2000,232,1788849600034643,1788849600050185,15542
load1000-burst,2,2000,233,1788849600034643,1788849600050197,15554
load1000-burst,2,2000,234,1788849600034643,1788849600050208,15565
load1000-burst,2,2000,235,1788849600034643,1788849600050224,15581
load1000-burst,2,2000,236,1788849600034643,1788849600050244,15601
load1000-burst,2,2000,237,1788849600034643,1788849600050260,15617
load1000-burst,2,2000,238,1788849600034643,1788849600050272,15629
load1000-burst,2,2000,239,1788849600034643,1788849600050282,15639
load1000-burst,2,2000,240,1788849600034643,1788849600050300,15657
load1000-burst,2,2000,241,1788849600034643,1788849600050314,15671
load1000-burst,2,2000,242,1788849600034643,1788849600050330,15687
load1000-burst,2,2000,243,1788849600034643,1788849600050346,15703
load1000-burst,2,2000,244,1788849600034643,1788849600050364,15721
load1000-burst,2,2000,245,1788849600034643,1788849600050379,15736
load1000-burst,2,2000,246,1788849600034643,1788849600050391,15748
load1000-burst,2,2000,247,1788849600034643,1788849600050401,15758
load1000-burst,2,2000,248,1788849600034643,1788849600050412,15769
load1000-burst,2,2000,249,1788849600034643,1788849600050422,15779
load1000-burst,2,2000,250,1788849600034643,1788849600050433,15790
load1000-burst,2,2000,251,1788849600034643,1788849600050445,15802
load1000-burst,2,2000,252,1788849600034643,1788849600050455,15812
load1000-burst,2,2000,253,1788849600034643,1788849600050473,15830
load1000-burst,2,2000,254,1788849600034643,1788849600050487,15844
load1000-burst,2,2000,255,1788849600034643,1788849600050502,15859
load1000-burst,2,2000,256,1788849600034643,1788849600050514,15871
load1000-burst,2,2000,257,1788849600034643,1788849600050524,15881
load1000-burst,2,2000,258,1788849600034643,1788849600050537,15894
load1000-burst,2,2000,259,1788849600034643,1788849600050553,15910
load1000-burst,2,2000,260,1788849600034643,1788849600050579,15936
load1000-burst,2,2000,261,1788849600034643,1788849600050601,15958
load1000-burst,2,2000,262,1788849600034643,1788849600050619,15976
load1000-burst,2,2000,263,1788849600034643,1788849600050650,16007
load1000-burst,2,2000,264,1788849600034643,1788849600050675,16032
load1000-burst,2,2000,265,1788849600034643,1788849600050688,16045
load1000-burst,2,2000,266,1788849600034643,1788849600050705,16062
load1000-burst,2,2000,267,1788849600034643,1788849600050721,16078
load1000-burst,2,2000,268,1788849600034643,1788849600050736,16093
load1000-burst,2,2000,269,1788849600034643,1788849600050753,16110
load1000-burst,2,2000,270,1788849600034643,1788849600050768,16125
load1000-burst,2,2000,271,1788849600034643,1788849600050784,16141
load1000-burst,2,2000,272,1788849600034643,1788849600050799,16156
load1000-burst,2,2000,273,1788849600034643,1788849600050815,16172
load1000-burst,2,2000,274,1788849600034643,1788849600050831,16188
load1000-burst,2,2000,275,1788849600034643,1788849600050847,16204
load1000-burst,2,2000,276,1788849600034643,1788849600050863,16220
load1000-burst,2,2000,277,1788849600034643,1788849600050879,16236
load1000-burst,2,2000,278,1788849600034643,1788849600050894,16251
load1000-burst,2,2000,279,1788849600034643,1788849600050910,16267
load1000-burst,2,2000,280,1788849600034643,1788849600050927,16284
load1000-burst,2,2000,281,1788849600034643,1788849600050943,16300
load1000-burst,2,2000,282,1788849600034643,1788849600050959,16316
load1000-burst,2,2000,283,1788849600034643,1788849600050975,16332
load1000-burst,2,2000,284,1788849600034643,1788849600050987,16344
load1000-burst,2,2000,285,1788849600034643,1788849600051005,16362
load1000-burst,2,2000,286,1788849600034643,1788849600051025,16382
load1000-burst,2,2000,287,1788849600034643,1788849600051041,16398
load1000-burst,2,2000,288,1788849600034643,1788849600051058,16415
load1000-burst,2,2000,289,1788849600034643,1788849600051073,16430
load1000-burst,2,2000,290,1788849600034643,1788849600051087,16444
load1000-burst,2,2000,291,1788849600034643,1788849600051098,16455
load1000-burst,2,2000,292,1788849600034643,1788849600051117,16474
load1000-burst,2,2000,293,1788849600034643,1788849600051137,16494
load1000-burst,2,2000,294,1788849600034643,1788849600051153,16510
load1000-burst,2,2000,295,1788849600034643,1788849600051170,16527
load1000-burst,2,2000,296,1788849600034643,1788849600051187,16544
load1000-burst,2,2000,297,1788849600034643,1788849600051207,16564
load1000-burst,2,2000,298,1788849600034643,1788849600051223,16580
load1000-burst,2,2000,299,1788849600034643,1788849600051236,16593
load1000-burst,2,2000,300,1788849600034643,1788849600051246,16603
load1000-burst,2,2000,301,1788849600034643,1788849600051257,16614
load1000-burst,2,2000,302,1788849600034643,1788849600051268,16625
load1000-burst,2,2000,303,1788849600034643,1788849600051283,16640
load1000-burst,2,2000,304,1788849600034643,1788849600051299,16656
load1000-burst,2,2000,305,1788849600034643,1788849600051318,16675
load1000-burst,2,2000,306,1788849600034643,1788849600051330,16687
load1000-burst,2,2000,307,1788849600034643,1788849600051339,16696
load1000-burst,2,2000,308,1788849600034643,1788849600051355,16712
load1000-burst,2,2000,309,1788849600034643,1788849600051370,16727
load1000-burst,2,2000,310,1788849600034643,1788849600051385,16742
load1000-burst,2,2000,311,1788849600034643,1788849600051401,16758
load1000-burst,2,2000,312,1788849600034643,1788849600051412,16769
load1000-burst,2,2000,313,1788849600034643,1788849600051424,16781
load1000-burst,2,2000,314,1788849600034643,1788849600051439,16796
load1000-burst,2,2000,315,1788849600034643,1788849600051450,16807
load1000-burst,2,2000,316,1788849600034643,1788849600051465,16822
load1000-burst,2,2000,317,1788849600034643,1788849600051485,16842
load1000-burst,2,2000,318,1788849600034643,1788849600051502,16859
load1000-burst,2,2000,319,1788849600034643,1788849600051527,16884
load1000-burst,2,2000,320,1788849600034643,1788849600051544,16901
load1000-burst,2,2000,321,1788849600034643,1788849600051564,16921
load1000-burst,2,2000,322,1788849600034643,1788849600051579,16936
load1000-burst,2,2000,323,1788849600034643,1788849600051592,16949
load1000-burst,2,2000,324,1788849600034643,1788849600051602,16959
load1000-burst,2,2000,325,1788849600034643,1788849600051614,16971
load1000-burst,2,2000,326,1788849600034643,1788849600051630,16987
load1000-burst,2,2000,327,1788849600034643,1788849600051645,17002
load1000-burst,2,2000,328,1788849600034643,1788849600051661,17018
load1000-burst,2,2000,329,1788849600034643,1788849600051677,17034
load1000-burst,2,2000,330,1788849600034643,1788849600051692,17049
load1000-burst,2,2000,331,1788849600034643,1788849600051708,17065
load1000-burst,2,2000,332,1788849600034643,1788849600051727,17084
load1000-burst,2,2000,333,1788849600034643,1788849600051742,17099
load1000-burst,2,2000,334,1788849600034643,1788849600051756,17113
load1000-burst,2,2000,335,1788849600034643,1788849600051765,17122
load1000-burst,2,2000,336,1788849600034643,1788849600051793,17150
load1000-burst,2,2000,337,1788849600034643,1788849600051806,17163
load1000-burst,2,2000,338,1788849600034643,1788849600051817,17174
load1000-burst,2,2000,339,1788849600034643,1788849600051830,17187
load1000-burst,2,2000,340,1788849600034643,1788849600051845,17202
load1000-burst,2,2000,341,1788849600034643,1788849600051855,17212
load1000-burst,2,2000,342,1788849600034643,1788849600051867,17224
load1000-burst,2,2000,343,1788849600034643,1788849600051880,17237
load1000-burst,2,2000,344,1788849600034643,1788849600051892,17249
load1000-burst,2,2000,345,1788849600034643,1788849600051910,17267
load1000-burst,2,2000,346,1788849600034643,1788849600051925,17282
load1000-burst,2,2000,347,1788849600034643,1788849600051943,17300
load1000-burst,2,2000,348,1788849600034643,1788849600051959,17316
load1000-burst,2,2000,349,1788849600034643,1788849600051978,17335
load1000-burst,2,2000,350,1788849600034643,1788849600051994,17351
load1000-burst,2,2000,351,1788849600034643,1788849600052010,17367
load1000-burst,2,2000,352,1788849600034643,1788849600052025,17382
load1000-burst,2,2000,353,1788849600034643,1788849600052040,17397
load1000-burst,2,2000,354,1788849600034643,1788849600052059,17416
load1000-burst,2,2000,355,1788849600034643,1788849600052078,17435
load1000-burst,2,2000,356,1788849600034643,1788849600052109,17466
load1000-burst,2,2000,357,1788849600034643,1788849600052132,17489
load1000-burst,2,2000,358,1788849600034643,1788849600052158,17515
load1000-burst,2,2000,359,1788849600034643,1788849600052175,17532
load1000-burst,2,2000,360,1788849600034643,1788849600052193,17550
load1000-burst,2,2000,361,1788849600034643,1788849600052209,17566
load1000-burst,2,2000,362,1788849600034643,1788849600052240,17597
