run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
republish-leg,1,1000,320,1788850101822176,1788850105402778,3580602
republish-leg,1,1000,321,1788850102822176,1788850106408312,3586136
republish-leg,1,1000,322,1788850103822176,1788850107422503,3600327
republish-leg,1,1000,323,1788850104822176,1788850108435407,3613231
republish-leg,1,1000,324,1788850105822176,1788850109436500,3614324
republish-leg,1,1000,325,1788850106822176,1788850110437536,3615360
republish-leg,1,1000,326,1788850107822176,1788850111441103,3618927
republish-leg,1,1000,327,1788850108822176,1788850112442791,3620615
republish-leg,1,1000,328,1788850109822176,1788850113455440,3633264
republish-leg,1,1000,329,1788850110822176,1788850114457438,3635262
republish-leg,1,1000,330,1788850111822176,1788850115466099,3643923
republish-leg,1,1000,331,1788850112822176,1788850116482211,3660035
republish-leg,1,1000,332,1788850113822176,1788850117483438,3661262
republish-leg,1,1000,333,1788850114822176,1788850118498847,3676671
republish-leg,1,1000,334,1788850115822176,1788850119515371,3693195
republish-leg,1,1000,335,1788850116822176,1788850120520520,3698344
republish-leg,1,1000,336,1788850117822176,1788850121531110,3708934
republish-leg,1,1000,337,1788850118822176,1788850122546576,3724400
republish-leg,1,1000,338,1788850119822176,1788850123561355,3739179
republish-leg,1,1000,339,1788850120822176,1788850124566180,3744004
republish-leg,1,1000,340,1788850121822176,1788850125581783,3759607
republish-leg,1,1000,341,1788850122822176,1788850126583839,3761663
republish-leg,1,1000,342,1788850123822176,1788850127600157,3777981
republish-leg,1,1000,343,1788850124822176,1788850128603754,3781578
republish-leg,1,1000,344,1788850125822176,1788850129618484,3796308
republish-leg,1,1000,345,1788850126822176,1788850130630690,3808514
republish-leg,1,1000,346,1788850127822176,1788850131643325,3821149
republish-leg,1,1000,347,1788850128822176,1788850132646145,3823969
republish-leg,1,1000,348,1788850129822176,1788850133649796,3827620
republish-leg,1,1000,349,1788850130822176,1788850134664231,3842055
republish-leg,1,1000,350,1788850131822176,1788850135670422,3848246
republish-leg,1,1000,351,1788850132822176,1788850136672630,3850454
republish-leg,1,1000,352,1788850133822176,1788850137684818,3862642
republish-leg,1,1000,353,1788850134822176,1788850138699257,3877081
republish-leg,1,1000,354,1788850135822176,1788850139716985,3894809
republish-leg,1,1000,355,1788850136822176,1788850140720231,3898055
republish-leg,1,1000,356,1788850137822176,1788850141730768,3908592
republish-leg,1,1000,357,1788850138822176,1788850142741291,3919115
republish-leg,1,1000,358,1788850139822176,1788850143752614,3930438
republish-leg,1,1000,359,1788850140822176,1788850144765220,3943044
republish-leg,1,1000,360,1788850141822176,1788850145780482,3958306
republish-leg,1,1000,361,1788850142822176,1788850146793851,3971675
republish-leg,1,1000,362,1788850143822176,1788850147808788,3986612
republish-leg,1,1000,363,1788850144822176,1788850148821996,3999820
republish-leg,1,1000,364,1788850145822176,1788850149829215,4007039
republish-leg,1,1000,365,1788850146822176,1788850150840874,4018698
republish-leg,1,1000,366,1788850147822176,1788850151855312,4033136
republish-leg,1,1000,367,1788850148822176,1788850152867807,4045631
republish-leg,1,1000,368,1788850149822176,1788850153872788,4050612
republish-leg,1,1000,369,1788850150822176,1788850154887678,4065502
republish-leg,1,1000,370,1788850151822176,1788850155891042,4068866
republish-leg,1,1000,371,1788850152822176,1788850156906178,4084002
republish-leg,1,1000,372,1788850153822176,1788850157914998,4092822
republish-leg,1,1000,373,1788850154822176,1788850158921249,4099073
republish-leg,1,1000,374,1788850155822176,1788850159922684,4100508
republish-leg,1,1000,375,1788850156822176,1788850160925761,4103585
republish-leg,1,1000,376,1788850157822176,1788850161940964,4118788
republish-leg,1,1000,377,1788850158822176,1788850162951152,4128976
republish-leg,1,1000,378,1788850159822176,1788850163953714,4131538
republish-leg,1,1000,379,1788850160822176,1788850164968672,4146496
republish-leg,1,1000,380,1788850161822176,1788850165985569,4163393
republish-leg,1,1000,381,1788850162822176,1788850166999710,4177534
republish-leg,1,1000,382,1788850163822176,1788850168014432,4192256
republish-leg,1,1000,383,1788850164822176,1788850169015541,4193365
republish-leg,1,1000,384,1788850165822176,1788850170023230,4201054
republish-leg,1,1000,385,1788850166822176,1788850171037157,4214981
republish-leg,1,1000,386,1788850167822176,1788850172049450,4227274
republish-leg,1,1000,387,1788850168822176,1788850173051480,4229304
republish-leg,1,1000,388,1788850169822176,1788850174062178,4240002
republish-leg,1,1000,389,1788850170822176,1788850175063861,4241685
republish-leg,1,1000,390,1788850171822176,1788850176066340,4244164
